feature,importance_mean,importance_std
cycles_since_install,13.964645399300991,0.21884347265231258
malfunction_severity,4.232687367027417,0.106378144982692
component_type,1.8266373935901092,0.08792651965794397
malfunction_count,0.4531019779373332,0.047474701743449144
wear_index,0.42788641575939756,0.020660646902770446
aircraft_age_cycles,0.0932897969436508,0.018469385458926957
passenger_load,0.07967592325693063,0.012266816740440308
environmental_stress,0.018190690652240438,0.007764240456857018
humidity,0.005416562356960752,0.004795321990913303
cabin_temperature,0.00052645273958285,0.003695183130969826
aircraft_type,9.331231305420573e-05,0.0008440054267214245
flight_duration_hr,-0.009173922055100814,0.004147162398348661
