metric,value
scenario_count,1000.0
mean_readiness,47.396
median_readiness,50.65
std_readiness,25.038
mean_maintenance_failure_probability,0.44
mean_inventory_shortage_risk,0.561
mean_action_queue_size,4.604
alert_routine_count,188.0
alert_routine_share,0.188
alert_watch_count,158.0
alert_watch_share,0.158
alert_priority_count,284.0
alert_priority_share,0.284
alert_critical_count,370.0
alert_critical_share,0.37
dominant_bottleneck_maintenance_count,319.0
dominant_bottleneck_catering_count,186.0
dominant_bottleneck_cleaning_count,133.0
dominant_bottleneck_boarding_count,286.0
dominant_bottleneck_refueling_count,76.0
action_category_maintenance_count,666.0
action_category_inventory_catering_count,719.0
action_category_assistance_count,189.0
action_category_gate_turnaround_count,969.0
action_category_occ_coordination_count,852.0
action_category_boarding_count,0.0
action_category_refueling_count,76.0
action_category_cleaning_count,133.0
action_category_operator_oversight_count,1000.0
